,im,label
770,[0.37639652],1
771,[0.26817037],1
772,[0.28874618],1
773,[0.24576537],1
774,[0.25175398],1
775,[0.34612409],1
776,[0.31088391],1
777,[0.3224619],1
778,[0.21267795],1
779,[0.184946],1
780,[0.24000685],1
781,[0.28938727],1
782,[0.3236086],1
783,[0.26071462],1
784,[0.22176425],1
785,[0.2937653],1
786,[0.24283156],1
787,[0.19475841],1
788,[0.23080998],1
789,[0.27932407],1
790,[0.36577344],1
791,[0.27677589],1
792,[0.60418553],1
793,[0.27009056],1
794,[0.15419679],1
795,[0.71222717],1
796,[0.42282042],1
797,[0.39206988],1
798,[0.48121218],1
799,[0.53512075],1
800,[1.14123057],1
801,[0.99321927],1
802,[0.33362782],1
803,[0.7176252],1
804,[0.55761182],1
805,[0.97708803],1
806,[0.46914237],1
807,[0.39559929],1
808,[0.3582666],1
809,[0.49189413],1
810,[0.16373479],1
811,[0.76759949],1
812,[0.36564356],1
813,[0.34087526],1
814,[0.29841068],1
815,[0.37541498],1
816,[0.31011258],1
817,[0.14480034],1
818,[0.76643576],1
819,[0.30552751],1
820,[0.25307222],1
821,[0.56433658],1
822,[0.16061843],1
823,[0.29452905],1
824,[0.32490368],1
825,[0.30707725],1
826,[0.21894102],1
827,[0.39283261],1
828,[0.41623609],1
829,[0.29157853],1
830,[0.38966437],1
831,[0.31574901],1
832,[0.29718954],1
833,[0.16780007],1
834,[0.18712207],1
835,[0.35094881],1
836,[0.18966118],1
837,[0.1701426],1
838,[0.09860812],1
839,[0.26704957],1
840,[0.43766706],1
841,[0.43446903],1
842,[0.40984416],1
843,[0.38147592],1
844,[0.87311082],1
845,[0.19705635],1
846,[0.36084688],1
847,[0.18437842],1
848,[0.16146158],1
849,[0.16278067],1
850,[0.28632054],1
851,[0.20760745],1
852,[0.24581363],1
853,[0.33987801],1
854,[0.24294502],1
855,[0.21426672],1
856,[0.166492],1
857,[0.1585994],1
858,[0.25197709],1
859,[0.23401775],1
860,[0.32348872],1
861,[0.32668116],1
862,[0.20796645],1
863,[0.20397184],1
864,[0.39180203],1
865,[0.39669416],1
866,[0.09857955],1
867,[0.27773489],1
868,[0.35113603],1
869,[0.3308289],1
870,[0.24127432],1
871,[0.2738462],1
872,[0.30997133],1
873,[0.20111524],1
874,[0.32582796],1
875,[0.29507999],1
876,[0.30803687],1
877,[0.15461876],1
878,[0.17272211],1
879,[0.22065764],1
880,[0.33857802],1
881,[0.30503397],1
882,[0.28008615],1
883,[0.23275327],1
884,[0.25902199],1
885,[0.13592889],1
886,[0.12794378],1
887,[0.17047545],1
888,[0.1968204],1
889,[0.4454795],1
890,[0.19117171],1
891,[0.49351944],1
892,[0.26000343],1
893,[0.19191849],1
894,[1.02223868],1
895,[0.40009886],1
896,[0.47226837],1
897,[0.78065653],1
898,[0.95802462],1
899,[0.81115145],1
900,[0.69521531],1
901,[0.23226412],1
902,[1.02499542],1
903,[0.62684829],1
904,[0.92111315],1
905,[0.42873564],1
906,[0.43415972],1
907,[0.33924634],1
908,[1.17658304],1
909,[0.19429953],1
910,[0.56761459],1
911,[0.30693279],1
912,[0.3636833],1
913,[0.30022653],1
914,[0.47282284],1
915,[0.34164067],1
916,[0.21454935],1
917,[0.47746146],1
918,[0.3688569],1
919,[0.21166558],1
920,[0.46778742],1
921,[0.23050868],1
922,[0.30787295],1
923,[0.30045387],1
924,[0.26252437],1
925,[0.19251064],1
926,[0.32576373],1
927,[0.40288714],1
928,[0.41435045],1
929,[0.35523751],1
930,[0.42066043],1
931,[0.27840445],1
932,[0.22360012],1
933,[0.16764838],1
934,[0.40597179],1
935,[0.16867678],1
936,[0.27987198],1
937,[0.22936836],1
938,[0.18983625],1
939,[0.49661191],1
940,[0.44887255],1
941,[0.38304515],1
942,[0.34261622],1
943,[0.94192298],1
944,[0.2057072],1
945,[0.42192463],1
946,[0.22912738],1
947,[0.22335656],1
948,[0.23240873],1
949,[0.25249714],1
950,[0.24918574],1
951,[0.27930713],1
952,[0.36637307],1
953,[0.26484469],1
954,[0.24657817],1
955,[0.24753433],1
956,[0.22136625],1
957,[0.33036264],1
958,[0.30251021],1
959,[0.43193722],1
960,[0.33568077],1
961,[0.20278172],1
962,[0.19304203],1
963,[0.46259197],1
964,[0.37988537],1
965,[0.13934979],1
966,[0.29429172],1
967,[0.38529954],1
968,[0.35042466],1
969,[0.30128199],1
970,[0.28502866],1
971,[0.32440885],1
972,[0.22332976],1
973,[0.32324632],1
974,[0.35927264],1
975,[0.29034321],1
976,[0.19714812],1
977,[0.13188175],1
978,[0.26214875],1
979,[0.24100614],1
980,[0.28979542],1
981,[0.26165682],1
982,[0.33072353],1
983,[0.27567132],1
984,[0.23647232],1
985,[0.17308586],1
986,[0.1759987],1
987,[0.18558543],1
988,[0.52199833],1
989,[0.21159805],1
990,[0.77081197],1
991,[0.40454082],1
992,[0.18837998],1
993,[0.91187433],1
994,[0.61081264],1
995,[0.44056951],1
996,[0.44053603],1
997,[0.46416716],1
998,[1.29675479],1
999,[0.75336317],1
1000,[0.38940342],1
1001,[0.71445243],1
1002,[0.82477904],1
1003,[0.80988912],1
1004,[0.54632743],1
1005,[0.35214401],1
1006,[0.43573121],1
1007,[0.69216128],1
1008,[0.22172667],1
1009,[0.47709555],1
1010,[0.34511531],1
1011,[0.34398833],1
1012,[0.35721662],1
1013,[0.31004023],1
1014,[0.35596749],1
1015,[0.25795001],1
1016,[1.04482595],1
1017,[0.29131358],1
1018,[0.29781289],1
1019,[1.08364293],1
1020,[0.25681236],1
1021,[0.36249935],1
1022,[0.35809413],1
1023,[0.33734532],1
1024,[0.30778186],1
1025,[0.38496008],1
1026,[0.40769994],1
1027,[0.27333141],1
1028,[0.37121335],1
1029,[0.3669467],1
1030,[0.28421567],1
1031,[0.21451363],1
1032,[0.13596055],1
1033,[0.29802578],1
1034,[0.21817184],1
1035,[0.28191026],1
1036,[0.21766883],1
1037,[0.21819694],1
1038,[0.46293103],1
1039,[0.41794647],1
1040,[0.41496115],1
1041,[0.46319569],1
1042,[0.48384191],1
1043,[0.18621738],1
1044,[0.37957561],1
1045,[0.30028062],1
1046,[0.28637183],1
1047,[0.17263016],1
1048,[0.39205547],1
1049,[0.27946529],1
1050,[0.31788661],1
1051,[0.41374696],1
1052,[0.21479065],1
1053,[0.19168727],1
1054,[0.20128052],1
1055,[0.21227802],1
1056,[0.29075348],1
1057,[0.25094829],1
1058,[0.34447978],1
1059,[0.29264492],1
1060,[0.2091969],1
1061,[0.22552443],1
1062,[0.44845282],1
1063,[0.40654818],1
1064,[0.17317632],1
1065,[0.20850235],1
1066,[0.24027782],1
1067,[0.37092209],1
1068,[0.23067735],1
1069,[0.25632027],1
1070,[0.30103292],1
1071,[0.18867039],1
1072,[0.3233512],1
1073,[0.31898659],1
1074,[0.25715061],1
1075,[0.15315152],1
1076,[0.19094506],1
1077,[0.21212398],1
1078,[0.32095391],1
1079,[0.31816886],1
1080,[0.35183864],1
1081,[0.23368089],1
1082,[0.31242329],1
1083,[0.19407563],1
1084,[0.13250286],1
1085,[0.25935889],1
1086,[0.29118284],1
1087,[0.3710209],1
1088,[0.206196],1
1089,[0.30905402],1
1090,[0.39829345],1
1091,[0.33444079],1
1092,[0.3338509],1
1093,[0.21715614],1
1094,[0.20347718],1
1095,[0.21424597],1
1096,[0.21311631],1
1097,[0.36960318],1
1098,[0.29990283],1
1099,[0.22630224],1
1100,[0.27407865],1
1101,[0.27432683],1
1102,[0.34231787],1
1103,[0.40382841],1
1104,[0.20495286],1
1105,[0.37074538],1
1106,[0.25852844],1
1107,[0.37136727],1
1108,[0.38711733],1
1109,[0.33471478],1
1110,[0.24110093],1
1111,[0.25827363],1
1112,[0.28273493],1
1113,[0.22779445],1
1114,[0.37390799],1
1115,[0.41789668],1
1116,[0.44774063],1
1117,[0.37683911],1
1118,[0.40475748],1
1119,[0.40708394],1
1120,[0.37740309],1
1121,[0.9791041],1
1122,[0.38369009],1
1123,[0.35880384],1
1124,[0.42067837],1
1125,[0.27712556],1
1126,[0.22453683],1
1127,[0.52866746],1
1128,[0.38983615],1
1129,[0.3241878],1
1130,[0.34124088],1
1131,[0.19210492],1
1132,[0.34291155],1
1133,[0.47727551],1
1134,[0.36453648],1
1135,[0.46454261],1
1136,[0.24952211],1
1137,[0.31178527],1
1138,[0.21053774],1
1139,[0.4002651],1
1140,[0.37806616],1
